"account_id","plan","currency","cohort_start_date","number_of_payments","gender","genre1","genre2","type","games","age","hours","is_churner","one_two_payments"
"564213846","SMALL","USD","2019-04-01 00:00:00+02","2","male","action","simulation","mobile",7,21,"12.5172180773521",1,1
"255842811","SMALL","EUR","2019-11-01 00:00:00+01","5","male","simulation","sports","computer",7,24,"1.4662847337032",1,0
"50117180","SMALL","EUR","2019-11-01 00:00:00+01","12","female","adventure","strategy","computer",8,33,"9.26613450005221",0,0
"629564594","LARGE","EUR","2020-11-01 00:00:00+01","1","female","adventure","action","mobile",9,26,"12.4915179557547",1,1
"945851052","SMALL","USD","2019-06-01 00:00:00+02","19","female","action","action","computer",5,29,"7.87428746082395",0,0
"414068704","SMALL","USD","2019-08-01 00:00:00+02","17","female","strategy","sports","computer",20,38,"7.02380226294626",0,0
"859047498","MEDIUM","EUR","2020-07-01 00:00:00+02","2","male","role-playing","adventure","computer",11,30,"7.81767688453776",1,1
"252693469","SMALL","USD","2020-05-01 00:00:00+02","3","female","role-playing","sports","computer",9,27,"7.63896662116255",1,0
"849753853","SMALL","USD","2019-06-01 00:00:00+02","19","male","adventure","action","mobile",13,22,"10.1770841439007",0,0
"948773157","SMALL","USD","2019-07-01 00:00:00+02","1","female","strategy","strategy","mobile",0,24,"0",1,1
"377829850","SMALL","EUR","2020-01-01 00:00:00+01","10","male","simulation","adventure","computer",13,27,"12.3550392664924",0,0
"867351983","SMALL","EUR","2019-01-01 00:00:00+01","8","male","strategy","action","computer",12,21,"12.9411350693657",0,0
"656482805","SMALL","USD","2020-03-01 00:00:00+01","10","female","role-playing","adventure","computer",15,33,"13.2811968442077",0,0
"382342715","SMALL","EUR","2020-01-01 00:00:00+01","10","male","strategy","action","computer",17,37,"11.5549680985863",0,0
"805748603","SMALL","EUR","2020-02-01 00:00:00+01","9","male","sports","adventure","computer",19,24,"26.3644368327961",0,0
"705464814","SMALL","EUR","2019-10-01 00:00:00+02","13","female","action","adventure","mobile",7,28,"10.7597901993838",0,0
"365701147","MEDIUM","EUR","2019-06-01 00:00:00+02","1","male","role-playing","strategy","computer",9,24,"5.90685927662968",1,1
